Índices de los Expedientes considerados como Reservados ,,,,,,,,,,,,,,,,,,,,,,..
,,,,,,,,,,,,,,,,,,,,,,
Clave de Sujeto obligado:,,,,,,,,,,,,,,,,,,,,,,
Sujeto obligado:,,Archivo General de la Nación ,,,,,,,,,,,,,,,,,,,,
Periodo del Índice:,,Segundo Semestre 2017,,,,,,,,,,,,,,,,,,,,
Fecha de actualización (dd/mm/aaaa):,,31/12/17 00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Área,Nombre del expediente o documento,Tema,Momento de la clasificación de la información como reservada,Plazo de reserva,Fecha de inicio de la clasificación  (dd/mm/aaaa),Fecha de término de la clasificación  (dd/mm/aaaa),Fundamento legal de la clasificación,Justificación,Razones y motivos de la clasificación,Clasificación completa o parcial,Partes o secciones que se clasifican,Fecha del acta en donde el Comité de Transparencia confirmó la clasificación  (dd/mm/aaaa),Estatus del expediente,Expediente en ampliación de plazo de reserva,Plazo de ampliación de reserva  (años),Fecha de inicio del plazo de ampliación de reserva  (dd/mm/aaaa),Fecha de término del plazo de ampliación de reserva  (dd/mm/aaaa),Fundamento legal del plazo de ampliación de reserva,Justificación del plazo de ampliación de reserva,Razones y motivos del plazo de ampliación de reserva,Clasificación completa o parcial de la ampliación de reserva,Partes o secciones que se clasifican en el plazo de ampliación de reserva
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller de inducción a la Identificación de Procesos 29 de septiembre con el Sector Hacienda,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller de inducción a la identificación de procesos 30 de septiembre con el sector Recurso Renovables,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller de Procesos Técnicos de Unidades de Correspondencia y Archivo de Trámite del 28 de septiembre al 02 de octubre  para el sector recursos renovables ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller de elaboración de tramite de  baja documental 19 y 20 de octubre del sector seguridad Nacional ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller de Elaboración de Tramite de  Baja documental 21 y 22                                                                                                                      de octubre del Sector Recursos Renovables ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller de procesos técnicos de unidades de correspondencia y archivo de trámite del 26 al 30 de octubre impartido al AGN,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller de elaboración del trámite de baja documental 29 y 30 de octubre Sector Ciencia y Tecnología,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller inducción a la identificación de procesos 09 de octubre de 2015 que se llevó a cabo en la Reunión Nacional de Archivos de Aguascalientes Sector Ciencias Tegnología ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller inducción de procesos 27  de octubre  Sector Economía ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller inducción a la identificación de procesos 28 de octubre del Sector Salud,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller inducción a la identificación de procesos 29 de octubre del Sector Desarrollo Social ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller inducción a la identificación de procesos 30 de octubre de los Sectores Desarrollo Agrario,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller elaboración del trámite de baja documental 05 y 06 de noviembre del Sector Hacienda ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller inducción a la identificación de procesos 06 de nov. del sector Seguridad Nacional ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller de procesos técnicos de la unidad de correspondencia y archivo de trámite 09 al 13 de noviembre del Sector Seguridad Nacional ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
